id,platform,business_name,business_type,content,rating,date,year,month,sentiment,labels,word_count
manual_001,知乎,桂山岛某餐厅,餐饮,120元/人自助，海鲜种类非常少！白贝、花甲、虾、生蚝，非常不新鲜！量非常少，让服务员加白贝只是敷衍了事,1.0,2021-10-05,2021,10,neutral,A01|G02,52
manual_002,微博,桂山岛整体,景点,走了半天桂山岛，确实是没啥好走没啥好看没啥好吃的，消费也没啥优势可言。真就是来躺着最好,2.0,2026-01-24,2026,1,positive,G01|G02,43
manual_003,黑猫投诉,观山海酒店,住宿,通过美团预订后因故无法入住，酒店和美团拒绝退还2096元，私自办理入住、平台不得取消属霸王条款,1.0,2023-08-25,2023,8,neutral,C04|G01,47
manual_004,易游网,上岛民宿,住宿,450块住10平米，行李都没地方放。宾馆又旧又潮湿又小，功夫茶具是用来摆设的不能用，厕所天板缺一块,1.5,2026-03-15,2026,3,negative,B03|B05,49
manual_005,易游网,上岛民宿,住宿,去到了和我说没房了，被带到别的民宿。实际和图片不符，房间卫生比较差，有一两只小蟑螂，厕所有异味,1.0,2025-04-20,2025,4,negative,A01|A02|B02|B05,47
manual_006,易游网,海顺精品民宿,住宿,房间里面有很多小蟑螂，床单被套都是毛发。每次开热水都会出一阵黄颜色的水,2.0,2026-04-10,2026,4,negative,A02|B02|B05,35
manual_007,易游网,驿旅阳光民宿,住宿,周末特贵500多，空调不制冷噪声很大，楼顶白天巨热空调开16度开了很久温度也没降下来。一次性拖鞋矿泉水要问才有,2.0,2025-08-15,2025,8,negative,D01|D04,55
manual_008,易游网,蓝色海岸民宿,住宿,风景很美，服务热情周到，还有免费升级和接送服务。海鲜好吃新鲜，推荐,5.0,2026-02-10,2026,2,positive,G01|G02|G03,33
manual_009,珠海票务网,桂语香山酒店,住宿,旧桂山标准房一般，新桂山标准双人间空间比较小。整体还行吧,3.5,2025-06-10,2025,6,negative,B03|B05,28
manual_010,南方+,桂山岛网红餐厅,餐饮,珠海市查餐厅网络直播执法行动走进桂山岛，重点检查网红餐厅操作间、食品储存间、餐具消毒间，发现问题要求限期整改,,2025-06-11,2025,6,neutral,,54
